title,publication_date,author,url,primary_topic,primary_category,teaser,market_items
Quick Tip: Create Dynamic Poses Using Gesture Drawing,18 Oct 2018,Rowena Aitken,https://design.tutsplus.com/tutorials/quick-tip-create-dynamic-poses-using-gesture-drawing--cms-23890,Design & Illustration,,Improving your characters' poses is easier than you think with these gesture drawing tips and tricks!,8035381
How to Create a Wood Engraved Logo Mockup in Adobe Photoshop,18 Oct 2018,Tom Piccarreda,https://design.tutsplus.com/tutorials/how-to-create-a-wood-engraved-logo-mock-up-in-adobe-photoshop--cms-29428,Design & Illustration,,Learn how to take advantage of Photoshop's Smart Objects to mock up your logo and use layer styles to carve it into wood with photorealistic results.,
10 Top Creative Matte and Faded Image Effect Filters for Photoshop (Actions),19 Oct 2018,Andrew Childress,https://photography.tutsplus.com/tutorials/10-top-creative-fade-image-effect-filters-in-photoshop--cms-31974,Photo & Video,,Get creative with these fade and vintage image effects for Adobe Photoshop thanks to Envato Elements.,
International Artist Feature: United Kingdom,20 Oct 2018,Melody Nieves,https://design.tutsplus.com/articles/international-artist-feature-united-kingdom--cms-31869,Design & Illustration,,"Welcome back to our International Artist Series. Today we're catching up with five incredible artists from the United Kingdom. ",
Learn 3D Web Animation in Our New Three.js Course,19 Oct 2018,Andrew Blackman,https://webdesign.tutsplus.com/articles/learn-3d-web-animation-in-our-new-threejs-course--cms-32016,Web Design,,"If you want to improve your 3D web animation skills but have limited time available, our new course, 3D Animation With Three.js, is for you.",
Best Royalty-Free Music for YouTube,19 Oct 2018,Dacia Egurrola,https://music.tutsplus.com/tutorials/best-royalty-free-music-for-youtube--cms-31923,Music & Audio,,"In this post, YouTube creators searching for the perfect royalty-free music to accompany their videos and add an extra element to them without getting into...","20429,84059,96603,111833,114523,147718,674799,712571,4870912,4928495,6523586,6554081,6785737,10093522,12093228,18362531,18704757,19202565,19899050,20379100,22244067"
How to Zip and Unzip Files in PHP,19 Oct 2018,Monty Shokeen,https://code.tutsplus.com/tutorials/file-compression-and-extraction-in-php--cms-31977,Code,,This tutorial will teach you how to zip and unzip (compress and extract) files to and from a zip archive in PHP. You will also learn how to delete or rename...,
How to Advocate for LGBTQ Rights in Your Workplace,18 Oct 2018,Andrew Blackman,https://business.tutsplus.com/tutorials/how-to-advocate-for-lgbtq-rights--cms-31996,Business,,"Learn how to advocate for LGBTQ rights in your workplace. We’ll cover things like building a network, creating policies, getting management buy-in, setting...",
10 Stunning Ionic App Templates,19 Oct 2018,Nona Blackman,https://code.tutsplus.com/tutorials/10-stunning-ionic-app-templates--cms-26068,Code,,"These Ionic mobile app templates will help kick-start your next project. So try out one of these ready made app templates from CodeCanyon, for Ionic 3 and...","10400343,18223835,18928976,19128672,19184982,19216199,19338231,20234423,20325136,20757378"
How to Create a Colourful Dasara Infographic in InDesign,18 Oct 2018,Grace Fussell,https://design.tutsplus.com/tutorials/how-to-create-a-dasara-infographic-in-indesign--cms-31792,Design & Illustration,,"This colorful infographic is a tribute to the Dasara festival, during which processions and celebrations take place across many parts of the Indian...",
How to Create an Abstract Icon Set in Adobe Illustrator,19 Oct 2018,Jonathan Lam,https://design.tutsplus.com/tutorials/how-to-create-a-chess-icon-set-in-adobe-illustrator--cms-31649,Design & Illustration,,"Create a chess icon set in Adobe Illustrator that you can use in video games, graphic design and illustration projects.",
25+ Video Logo Animations (In After Effects) for Your Inspiration,19 Oct 2018,Sean Hodge,http://business.tutsplus.com/articles/25-video-logo-animations-for-your-inspiration--cms-26250,Business,,Are you thinking of animating your logo? Here are 25+ video logo animations to get your brand moving. These are the best logo animation After Effects...,"11057251,11177149,11371901,11387075,11454694,11529245,11728875,11893519,11896381,12026820,12072642,12094601,12297882,12581757,12851611,12893716,13093172,13335022,13418053,13532150,13566796,13829336,13887799,20870967,21273854"
Google Slides: How to Quickly Find the Best Add-ons,18 Oct 2018,Andrew Childress,https://business.tutsplus.com/tutorials/best-google-slides-add-ons--cms-31938,Business,,Learn how to quickly find the best Google Slides add-ons. Here's a step-by-step guide to finding and downloading add-ons for Slides (including a video).,
Practical Test-Driven Development,17 Oct 2018,Vasu,https://code.tutsplus.com/tutorials/practical%20test%20driven%20development--cms-30345,Code,,Test-driven development (TDD) simply means that you write your tests first. You set the expectations for correct code up front before you have even written a...,
How to Create an Animated Spirit Day Presentation With fullPage.js,18 Oct 2018,George Martsoukos,https://webdesign.tutsplus.com/tutorials/how-to-create-an-animated-spirit-day-presentation-with-fullpagejs--cms-32005,Web Design,,"October 18th 2018 is Spirit Day, something we recognize each year at Tuts+, and on this day we speak out against LGBTQ bullying, especially among LGBTQ youth. ",
How to Make Winning Pitch Decks (With PowerPoint Templates),17 Oct 2018,Andrew Childress,https://business.tutsplus.com/tutorials/make-pitch-decks-with-powerpoint--cms-30270,Business,,Learn how to quickly build an effective PowerPoint pitch deck with a great PPT template. Browse through top investor pitch deck presentations (PPT examples)...,
How to Paint a Spirit Day Inspired Illustration in Procreate,18 Oct 2018,Daisy Ein,https://design.tutsplus.com/tutorials/how-to-paint-a-spirit-day-inspired-illustration-in-procreate--cms-31851,Design & Illustration,,"Spirit Day, celebrated in October, is about supporting the LGBTQ+ community and taking a stand against bullying. We'll show some support for this day and its...",
New Course: Build an App With JavaScript and the MEAN Stack,18 Oct 2018,Andrew Blackman,https://code.tutsplus.com/articles/new-course-build-an-app-with-javascript-and-the-mean-stack--cms-31963,Code,,"Find out how to make your web development work a whole lot easier in our new course, Build an App From Scratch With JavaScript and the MEAN Stack. ",
How to Create a Cool Short Video in Support of Spirit Day,18 Oct 2018,Nona Blackman,https://cgi.tutsplus.com/tutorials/how-to-create-a-cool-short-video-in-support-of-spirit-day--cms-32032,3D & Motion Graphics,,"In support of Spirit Day, we’ll show you how to create an amazing short video that you can post on your blog, your YouTube channel and/or on your preferred...",
How to Create a Cheese Text Effect in Adobe Photoshop,17 Oct 2018,Jan Stverak,https://design.tutsplus.com/tutorials/how-to-create-a-cheese-text-effect-in-adobe-photoshop--cms-31748,Design & Illustration,,"This tutorial will show you how to create a cheese text effect using Photoshop's layer styles, filters, and brushes. ",22397807
How to Create a Purple Double Exposure Photo in Photoshop (With an Action),18 Oct 2018,Marie Gardiner,https://photography.tutsplus.com/articles/how-to-create-a-purple-double-exposure-photo-in-photoshop--cms-32033,Photo & Video,,"October 18th is Spirit Day, so show your support by creating a cool, purple double exposure photograph with an Adobe Photoshop Action.",
How to Add Oil Painting Photo Effects Quickly (With Actions) in Photoshop,17 Oct 2018,Marie Gardiner,https://photography.tutsplus.com/articles/how-to-add-oil-painting-photo-effects-in-photoshop-quickly--cms-32020,Photo & Video,,Give your photographs the look of an oil-painted masterpiece with these three actions for Adobe Photoshop from Envato Elements.,
How to Use the Symfony Event Dispatcher for PHP,18 Oct 2018,Sajal Soni,https://code.tutsplus.com/tutorials/handling-events-in-your-php-applications-using-the-symfony-eventdispatcher-component--cms-31328,Code,,"Today, we're going to learn how to use the Symfony event dispatcher component, which allows you to create events and listeners in your PHP applications....",
Apps and Tools to Support LGBTQ Youth This Spirit Day,18 Oct 2018,Jane Baker,https://code.tutsplus.com/articles/apps-and-tools-to-support-lgbtq-youth-this-spirit-day--cms-32039,Code,,"Today, we at Envato Tuts+ are going purple and taking the Spirit Day Pledge. We pledge to support LGBTQ youth and stand against bullying. Will you take the...",
How to Use Apple Keynote Live to Stream Presentations on the Web,17 Oct 2018,Andrew Childress,https://business.tutsplus.com/tutorials/apple-keynote-live-stream--cms-31712,Business,,Use the Apple Keynote Live feature to stream presentations to your audience and collaborate in realtime. Learn how in this short video and written tutorial.,
Training an Image Classification Model With Create ML,17 Oct 2018,Vardhan Agrawal,https://code.tutsplus.com/articles/training-an-image-classification-model-with-create-ml--cms-31617,Code,,"Machine learning is great, but it can sometimes be hard to implement in mobile applications. But with Core ML, Apple makes it easy to add machine learning to...",
How to Create a Marble Wedding Invite in Adobe InDesign,17 Oct 2018,Grace Fussell,https://design.tutsplus.com/tutorials/how-to-create-a-marbled-wedding-invite-in-adobe-indesign--cms-31629,Design & Illustration,,"Marble is a big trend in wedding stationery right now, and it's a beautiful way of making print invitations look instantly more luxurious and expensive....",
15 Top Corporate After Effects Video Templates for Business,17 Oct 2018,Andrew Childress,https://photography.tutsplus.com/tutorials/15-top-corporate-after-effects-templates-for-your-inspiration--cms-29384,Photo & Video,,Learn how to use After Effects to create your company video with these 15 helpful projects.,"519447,1614724,2774691,3426970,5006143,5150833,6509162,6925574,6961660,7858337,10144745,10338608,11111538,11453830,14507047"
11 Practical Web Animation Courses,16 Oct 2018,Andrew Blackman,https://webdesign.tutsplus.com/articles/practical-animation-courses--cms-31970,Web Design,,"Here are 11 courses that will teach you how to create beautiful animations with CSS, JavaScript, and dedicated frameworks like GreenSock and Sequence.js.",
20 T-Shirt Mockup PSD Templates (With Photorealistic Results),17 Oct 2018,Sean Hodge,https://design.tutsplus.com/articles/t-shirt-mockup-psd-templates--cms-27086,Design & Illustration,,Jump into this curated list of T-shirt mockup Photoshop templates. There’s a ton of inspiring T-shirt mockup PSD display options with photorealistic results....,"20,7325557,7666529,7842645,9156519,10940969,11017578,11395994,11725001,12913805,13177976,13270700,13562381,13724491,13744902,13756222,14707045,14738798,16534500"
Figma Object Selection Tips,17 Oct 2018,Kezz Bracey,https://webdesign.tutsplus.com/tutorials/figma-object-selection-tips--cms-31983,Web Design,,"Welcome to this, the second post in our series of Figma tips. In this video we’ll be covering three tips to do with object selection, so let’s get started!",
Destructing Elements in Maya With PullDownIt: Part 7,16 Oct 2018,Uriel Deveaud,https://cgi.tutsplus.com/tutorials/destructing-elements-in-maya-with-pulldownit-part-7--cms-30856,3D & Motion Graphics,,"In this part of the tutorial, I'll show you how to connect particles emission to PDI in Maya to create particle based fragments. ",
20 Fun PowerPoint Templates With Colorful Slide Designs (For 2018),16 Oct 2018,Laura Spencer,https://business.tutsplus.com/articles/fun-colorful-powerpoint-templates--cms-32001,Business,,Discover some fun PowerPoint templates that can add some extra color and excitement to your presentations.,"104655,178692,241010,8664645,9101039,9427433,9525269,10159097,11254723,11590394,11675969,11780075,11783344,13092982,22376059"
15+ Best WordPress Portfolio Themes for Creatives,17 Oct 2018,Brenda Barron,https://webdesign.tutsplus.com/articles/15-best-wordpress-portfolio-themes-for-creatives--cms-26277,Web Design,,Looking to build a stunning portfolio to display your creative work? You need look no further than this awesome roundup of over 15 creative portfolio...,"4363266,10648488,10785742,10811763,10860525,10939025,11099136,11118909,11776839,12074651,12162415,12468676,13304399,13373220,19081383,19374923,20262260,22706691"
20 Best Pitch Deck Templates: For Business Plan PowerPoint Presentations,17 Oct 2018,Sean Hodge,https://business.tutsplus.com/articles/15-best-pitch-deck-templates-for-business-plan-powerpoint-presentations--cms-26433,Business,,"Do you need to put together a pitch deck fast? Here are twenty of the best pitch deck templates for PowerPoint, ready to put your business plan or startup...","6098844,7546326,9436319,10241792,11833931,12253011,12751697,12882233,13004924,13092982,14517944,14721836,14757455,15212639,15639379"
How to Create a Rose and Spider Portrait Photo Manipulation in Photoshop,16 Oct 2018,Jenny Le,https://design.tutsplus.com/tutorials/how-to-create-a-rose-lady-photo-manipulation-with-adobe-photoshop--cms-31716,Design & Illustration,,"Learn how to use Adobe Photoshop to create a fantasy rose woman portrait. You'll learn how to build the background with cobwebs, rose branches, and spiders....",
Figma Layers Panel Tips,15 Oct 2018,Kezz Bracey,https://webdesign.tutsplus.com/tutorials/figma-layers-panel-tips--cms-31982,Web Design,,"This is the first in a series of thirteen posts, each one a small collection of Figma tips and tricks themed around something specific. So let’s begin with...",
"How to Create the Carpet Pattern From ""The Shining"" in Adobe Illustrator",15 Oct 2018,Andrei Stefan,https://design.tutsplus.com/tutorials/how-to-create-the-carpet-pattern-from-the-shining--cms-27364,Design & Illustration,,"In today’s tutorial we’re going to continue with the Horror Movie Special, and learn how to create the trippy carpet pattern from Stanley Kubrick’s “The...",
"25+ Best Free Hand Lettering Style Fonts (Designs for 2018) ",14 Oct 2018,Melody Nieves,https://design.tutsplus.com/articles/25-best-free-hand-lettering-style-fonts-designs-for-2018--cms-31774,Design & Illustration,,Need a hand lettering font for your next project? Check out this stunning collection of free and premium resources.,"20798451,21196114,21434591,21440865,21454858,21586156,22068126,22377108,22529914"
How to Draw Anime Characters,16 Oct 2018,Monika Zagrobelna,https://design.tutsplus.com/tutorials/how-to-draw-anime-characters--cms-31864,Design & Illustration,,"Learn how to draw an anime body: how to draw the gesture, the forms, and the anatomy of the torso, legs, and arms. It's all explained on a beginner level!",
6 Affinity Designer Tools That You Should Be Using Right Now,15 Oct 2018,Andrei Stefan,https://design.tutsplus.com/tutorials/6-affinity-designer-tools-that-you-should-be-using-right-now--cms-31754,Design & Illustration,,"Welcome back to another Affinity Designer article, in which we’re going to take a close look at six tools that you should be adding to your arsenal right now. ",
